Strategy,P1,P2,P3,Comment,Cycles,Repeats,StartSum,StartEq,StartBo,Withdrawal,Rebalance,Aver,Max,Min,SuccessRate, 
1,0,0,0,,400,10000,4,0,0,2.5,11,1.23,4.65,0.00,1.00,
3,0,0,0,,400,10000,4,100,0,4,11,8.81,34.27,1.29,1.00,
3,0,0,0,,400,10000,4,50,25,2.5,11,9.15,38.11,2.61,1.00,
1,0,0,0,,400,10000,4,0,0,4,11,0.00,1.02,0.00,0.00,
2,0,0,0,,400,10000,4,60,20,4,11,6.23,27.44,1.66,1.00,
3,0,0,0,,400,10000,4,10,45,2.5,11,4.51,14.07,1.85,1.00,
3,0,0,0,,400,10000,4,0,100,2.8,11,3.93,16.29,1.17,1.00,
2,0,0,0,,400,10000,4,90,5,2.5,11,14.94,54.99,3.95,1.00,
3,0,0,0,,400,10000,4,80,10,2.5,11,12.44,42.14,3.16,1.00,
3,0,0,0,,400,10000,4,0,50,2.5,11,3.30,11.84,1.38,1.00,
1,0,0,0,,400,10000,4,90,5,2.5,11,23.72,88.81,3.78,1.00,
2,0,0,0,,400,10000,4,0,0,4,11,1.28,2.20,0.73,1.00,
3,0,0,0,,400,10000,4,0,0,2.5,11,2.23,4.08,1.10,1.00,
2,0,0,0,,400,10000,4,20,40,2.5,11,5.75,15.23,2.40,1.00,
1,0,0,0,,400,10000,4,10,45,4,11,0.79,9.82,0.00,0.64,
2,0,0,0,,400,10000,4,20,40,4,11,3.30,9.55,1.34,1.00,
3,0,0,0,,400,10000,4,90,5,4,11,8.14,45.96,0.00,1.00,
3,0,0,0,,400,10000,4,60,20,2.8,11,9.31,35.71,2.23,1.00,
2,0,0,0,,400,10000,4,70,15,2.8,11,10.85,38.33,2.56,1.00,
2,0,0,0,,400,10000,4,40,30,2.8,11,7.42,24.42,2.42,1.00,
2,0,0,0,,400,10000,4,0,50,2.5,11,3.28,7.34,1.57,1.00,
3,0,0,0,,400,10000,4,30,35,2.8,11,6.17,20.82,2.06,1.00,
2,0,0,0,,400,10000,4,55,18,4,11,5.79,17.81,1.85,1.00,
3,0,0,0,,400,10000,4,40,30,2.5,11,8.04,28.97,2.50,1.00,
2,0,0,0,,400,10000,4,80,10,2.5,11,13.45,53.30,3.27,1.00,
3,0,0,0,,400,10000,4,0,0,2.8,11,2.00,3.85,1.11,1.00,
3,0,0,0,,400,10000,4,0,100,2.5,11,4.36,14.65,1.19,1.00,
2,0,0,0,,400,10000,4,100,0,2.5,11,16.33,63.48,3.00,1.00,
2,0,0,0,,400,10000,4,10,45,2.5,11,4.51,12.18,1.86,1.00,
3,0,0,0,,400,10000,4,80,10,4,11,7.51,26.97,1.42,1.00,
1,0,0,0,,400,10000,4,0,50,4,11,0.18,6.48,0.00,0.25,
2,0,0,0,,400,10000,4,100,0,2.8,11,14.56,45.66,3.40,1.00,
2,0,0,0,,400,10000,4,10,45,4,11,2.60,6.27,1.06,1.00,
3,0,0,0,,400,10000,4,55,18,2.8,11,8.69,31.71,2.35,1.00,
2,0,0,0,,400,10000,4,60,20,2.8,11,9.69,29.69,2.65,1.00,
2,0,0,0,,400,10000,4,30,35,2.8,11,6.28,18.68,2.06,1.00,
3,0,0,0,,400,10000,4,30,35,2.5,11,6.87,24.35,2.10,1.00,
3,0,0,0,,400,10000,4,20,40,2.8,11,5.13,14.24,1.99,1.00,
2,0,0,0,,400,10000,4,70,15,2.5,11,12.21,46.91,3.58,1.00,
3,0,0,0,,400,10000,4,70,15,4,11,6.77,26.54,1.38,1.00,
2,0,0,0,,400,10000,4,90,5,2.8,11,13.23,54.11,3.27,1.00,
2,0,0,0,,400,10000,4,0,50,4,11,1.89,4.69,0.77,1.00,
2,0,0,0,,400,10000,4,55,18,2.8,11,9.05,28.24,2.78,1.00,
3,0,0,0,,400,10000,4,10,45,2.8,11,4.05,12.69,1.58,1.00,
2,0,0,0,,400,10000,4,60,20,2.5,11,10.84,34.96,2.80,1.00,
3,0,0,0,,400,10000,4,60,20,4,11,6.13,25.15,1.06,1.00,
2,0,0,0,,400,10000,4,80,10,2.8,11,12.12,42.19,2.76,1.00,
2,0,0,0,,400,10000,4,50,25,2.8,11,8.51,29.97,1.97,1.00,
2,0,0,0,,400,10000,4,55,18,2.5,11,10.09,32.50,3.05,1.00,
3,0,0,0,,400,10000,4,55,18,4,11,5.73,25.20,1.07,1.00,
2,0,0,0,,400,10000,4,50,25,2.5,11,9.58,32.57,2.54,1.00,
2,0,0,0,,400,10000,4,40,30,2.5,11,8.24,25.83,2.77,1.00,
2,0,0,0,,400,10000,4,30,35,2.5,11,7.03,26.31,2.39,1.00,
