Strategy,P1,P2,P3,Comment,Cycles,Repeats,StartSum,StartEq,StartBo,Withdrawal,Rebalance,Aver,Max,Min,SuccessRate, 
1,0,0,0,WorldWithoutUS,400,10000,4,50,25,4,11,3.61,32.39,0.00,0.88,
2,0,0,0,WorldWithoutUS,400,10000,4,20,40,4,11,2.37,8.78,0.87,1.00,
1,0,0,0,WorldWithoutUS,400,10000,4,90,5,2.5,11,16.23,102.42,0.64,1.00,
3,0,0,0,WorldWithoutUS,400,10000,4,60,20,2.5,11,7.71,32.23,1.79,1.00,
1,0,0,0,WorldWithoutUS,400,10000,4,80,10,4,11,7.94,83.97,0.00,0.97,
3,0,0,0,WorldWithoutUS,400,10000,4,40,30,2.8,11,5.36,22.09,1.50,1.00,
1,0,0,0,WorldWithoutUS,400,10000,4,10,45,4,11,0.13,9.50,0.00,0.17,
3,0,0,0,WorldWithoutUS,400,10000,4,90,5,2.5,11,10.41,60.67,0.45,1.00,
2,0,0,0,WorldWithoutUS,400,10000,4,60,20,4,11,4.57,20.80,1.22,1.00,
3,0,0,0,WorldWithoutUS,400,10000,4,0,50,2.8,11,2.04,5.21,0.98,1.00,
3,0,0,0,WorldWithoutUS,400,10000,4,0,0,2.8,11,1.97,3.58,1.06,1.00,
3,0,0,0,WorldWithoutUS,400,10000,4,10,45,2.5,11,3.22,12.00,1.18,1.00,
3,0,0,0,WorldWithoutUS,400,10000,4,100,0,4,11,6.72,30.71,0.70,1.00,
2,0,0,0,WorldWithoutUS,400,10000,4,40,30,4,11,3.46,14.99,0.98,1.00,
3,0,0,0,WorldWithoutUS,400,10000,4,90,5,2.8,11,9.27,45.05,0.80,1.00,
3,0,0,0,WorldWithoutUS,400,10000,4,60,20,2.8,11,6.96,30.77,1.74,1.00,
3,0,0,0,WorldWithoutUS,400,10000,4,90,5,4,11,6.19,37.95,0.00,1.00,
3,0,0,0,WorldWithoutUS,400,10000,4,55,18,4,11,4.32,18.96,0.91,1.00,
3,0,0,0,WorldWithoutUS,400,10000,4,40,30,2.5,11,5.94,33.33,1.53,1.00,
1,0,0,0,WorldWithoutUS,400,10000,4,40,30,4,11,2.38,22.06,0.00,0.82,
3,0,0,0,WorldWithoutUS,400,10000,4,0,100,2.5,11,2.39,8.73,0.56,1.00,
2,0,0,0,WorldWithoutUS,400,10000,4,0,0,4,11,1.26,2.09,0.78,1.00,
2,0,0,0,WorldWithoutUS,400,10000,4,60,20,2.8,11,7.15,30.04,1.48,1.00,
3,0,0,0,WorldWithoutUS,400,10000,4,0,0,2.5,11,2.19,3.47,1.34,1.00,
1,0,0,0,WorldWithoutUS,400,10000,4,100,0,2.5,11,18.45,92.87,0.43,1.00,
2,0,0,0,WorldWithoutUS,400,10000,4,10,45,4,11,1.84,5.61,0.84,1.00,
2,0,0,0,WorldWithoutUS,400,10000,4,55,18,4,11,4.30,18.48,1.24,1.00,
2,0,0,0,WorldWithoutUS,400,10000,4,90,5,2.5,11,10.93,59.14,1.98,1.00,
3,0,0,0,WorldWithoutUS,400,10000,4,80,10,2.5,11,9.44,45.68,1.41,1.00,
1,0,0,0,WorldWithoutUS,400,10000,4,0,50,4,11,0.01,2.77,0.00,0.02,
2,0,0,0,WorldWithoutUS,400,10000,4,100,0,2.8,11,10.69,41.80,2.21,1.00,
1,0,0,0,WorldWithoutUS,400,10000,4,80,10,2.5,11,14.18,92.37,0.73,1.00,
2,0,0,0,WorldWithoutUS,400,10000,4,80,10,2.5,11,9.88,41.41,2.41,1.00,
3,0,0,0,WorldWithoutUS,400,10000,4,30,35,2.8,11,4.52,16.10,1.40,1.00,
2,0,0,0,WorldWithoutUS,400,10000,4,10,45,2.5,11,3.20,9.06,1.36,1.00,
2,0,0,0,WorldWithoutUS,400,10000,4,60,20,2.5,11,7.95,33.59,1.99,1.00,
3,0,0,0,WorldWithoutUS,400,10000,4,0,100,2.8,11,2.15,7.84,0.55,1.00,
3,0,0,0,WorldWithoutUS,400,10000,4,0,50,2.5,11,2.29,6.02,1.10,1.00,
3,0,0,0,WorldWithoutUS,400,10000,4,55,18,2.8,11,6.54,25.21,1.69,1.00,
1,0,0,0,WorldWithoutUS,400,10000,4,30,35,4,11,1.36,19.66,0.00,0.68,
2,0,0,0,WorldWithoutUS,400,10000,4,50,25,2.5,11,7.00,34.53,1.92,1.00,
