-1,-1,318,0,0,1.02224298776839,
-1,-1,318,0,0,1.02224298776839,
-1,-1,318,0,0,1.02224298776839,
-1,-1,318,0,0,1.02224298776839,
-1,-1,318,0,0,1.02224298776839,
-1,-1,318,0,0,1.02224298776839,
-1,-1,319,0,0,1.02976672311537,
-1,-1,320,0,0,1.03734583335291,
-1,-1,320,0,0,1.03734583335291,
-1,-1,321,0,0,1.04498072604165,
-1,-1,322,0,0,1.05267181174192,
-1,-1,322,0,0,1.05267181174192,
-1,-1,323,0,0,1.06041950403577,
-1,-1,324,0,0,1.0682242195492,
-1,-1,325,0,0,1.07608637797463,
-1,-1,326,0,0,1.0840064020934,
-1,-1,327,0,0,1.09198471779854,
337,-1,328,1.17506987977948,0,1.10002175411766,
339,-1,329,1.19243062390556,0,1.10811794323603,
341,-1,331,1.21004785953209,0,1.12448952453946,
343,-1,332,1.22792537612164,0,1.13276579709336,
345,-1,334,1.24606701912313,0,1.14950153127948,
346,-1,335,1.25523810524321,0,1.15796189286257,
346,-1,335,1.25523810524321,0,1.15796189286257,
347,-1,335,1.26447669079899,0,1.15796189286257,
347,-1,334,1.26447669079899,0,1.14950153127948,
347,-1,331,1.26447669079899,0,1.12448952453946,
346,-1,329,1.25523810524321,0,1.10811794323603,
345,-1,327,1.24606701912313,0,1.09198471779854,
343,-1,327,1.22792537612164,0,1.09198471779854,
340,-1,323,1.20120694474243,0,1.06041950403577,
339,335,320,1.19243062390556,1.15796189286257,1.03734583335291,
337,333,317,1.17506987977948,1.14110298323151,1.01477422272906,
336,331,314,1.16648452293,1.12448952453946,0.992693747838137,
331,329,311,1.12448952453946,1.10811794323603,0.97109372205647,
326,328,310,1.0840064020934,1.10002175411766,0.963998666450324,
320,329,308,1.03734583335291,1.10811794323603,0.949963691290674,
319,330,307,1.02976672311537,1.11627372051981,0.94302301701749,
317,332,304,1.01477422272906,1.13276579709336,0.922503776793964,
318,334,303,1.02224298776839,1.14950153127948,0.915763731580436,
318,335,304,1.02224298776839,1.15796189286257,0.922503776793964,
319,337,305,1.02976672311537,1.17506987977948,0.929293428918002,
319,340,306,1.02976672311537,1.20120694474243,0.936133053060719,
320,342,307,1.03734583335291,1.21895384368774,0.94302301701749,
321,344,308,1.04498072604165,1.23696293927083,0.949963691290674,
321,345,309,1.04498072604165,1.24606701912313,0.956955449109537,
323,347,310,1.06041950403577,1.26447669079899,0.963998666450324,
324,348,311,1.0682242195492,1.27378327258808,0.97109372205647,
324,350,312,1.0682242195492,1.29260243036585,0.978240997458979,
326,350,312,1.0840064020934,1.29260243036585,0.978240997458979,
327,350,312,1.09198471779854,1.29260243036585,0.978240997458979,
328,350,313,1.10002175411766,1.29260243036585,0.985440876996926,
331,349,314,1.12448952453946,1.28315835106456,0.992693747838137,
332,349,315,1.13276579709336,1.28315835106456,1,
333,349,316,1.14110298323151,1.28315835106456,1.00736002637044,
336,348,317,1.16648452293,1.27378327258808,1.01477422272906,
336,349,318,1.16648452293,1.28315835106456,1.02224298776839,
337,351,320,1.17506987977948,1.30211601833984,1.03734583335291,
338,351,323,1.18371842508177,1.30211601833984,1.06041950403577,
366,352,325,1.45351789234065,1.3116996265722,1.07608637797463,
370,354,328,1.49678435698519,1.33107896900881,1.10002175411766,
374,355,329,1.54133872250299,1.34087574532185,1.10811794323603,
379,358,331,1.59890130157397,1.37070082812398,1.12448952453946,
382,360,333,1.63446564366774,1.3909518674536,1.14110298323151,
384,361,337,1.65861360313029,1.40118930987807,1.17506987977948,
384,362,339,1.65861360313029,1.41150210014876,1.19243062390556,
385,364,341,1.67082104298771,1.4323559465589,1.21004785953209,
385,365,343,1.67082104298771,1.44289812409743,1.22792537612164,
387,365,344,1.69550612521721,1.44289812409743,1.23696293927083,
390,364,346,1.73321924722165,1.4323559465589,1.25523810524321,
392,363,346,1.7588262144184,1.42189079282779,1.25523810524321,
391,362,345,1.74597578658696,1.41150210014876,1.24606701912313,
391,360,345,1.74597578658696,1.3909518674536,1.24606701912313,
391,359,345,1.74597578658696,1.38078922236497,1.24606701912313,
390,358,344,1.73321924722165,1.37070082812398,1.23696293927083,
390,356,344,1.73321924722165,1.35074462616691,1.23696293927083,
390,355,344,1.73321924722165,1.34087574532185,1.23696293927083,
389,355,343,1.72055591034966,1.34087574532185,1.22792537612164,
387,354,341,1.69550612521721,1.33107896900881,1.21004785953209,
386,353,340,1.68311832992439,1.32135377041387,1.20120694474243,
385,352,338,1.67082104298771,1.3116996265722,1.18371842508177,
383,351,337,1.64649535390672,1.30211601833984,1.17506987977948,
382,350,336,1.63446564366774,1.29260243036585,1.16648452293,
380,348,334,1.61066925731729,1.27378327258808,1.14950153127948,
377,346,331,1.57562270085457,1.25523810524321,1.12448952453946,
375,344,329,1.5526830161464,1.23696293927083,1.10811794323603,
373,341,326,1.53007731312954,1.21004785953209,1.0840064020934,
370,338,324,1.49678435698519,1.18371842508177,1.0682242195492,
368,335,322,1.47499248942277,1.15796189286257,1.05267181174192,
367,333,321,1.46421582235819,1.14110298323151,1.04498072604165,
365,330,319,1.44289812409743,1.11627372051981,1.02976672311537,
363,327,317,1.42189079282779,1.09198471779854,1.01477422272906,
362,325,316,1.41150210014876,1.07608637797463,1.00736002637044,
361,325,315,1.40118930987807,1.07608637797463,1,
361,325,315,1.40118930987807,1.07608637797463,1,
361,327,315,1.40118930987807,1.09198471779854,1,
362,328,316,1.41150210014876,1.10002175411766,1.00736002637044,
362,330,316,1.41150210014876,1.11627372051981,1.00736002637044,
