Strategy,P1,P2,P3,Comment,Cycles,Repeats,StartSum,StartEq,StartBo,Withdrawal,Rebalance,Aver,Max,Min,SuccessRate, 
3,0,0,0,Europe,400,10000,4,0,100,2.8,11,2.14,9.77,0.5,1,
3,0,0,0,Europe,400,10000,4,0,0,2.8,11,1.96,3.34,1.01,1,
3,0,0,0,Europe,400,10000,4,10,45,2.8,11,2.88,8.52,0.84,1,
3,0,0,0,Europe,400,10000,4,20,40,2.8,11,3.71,15.47,1.2,1,
3,0,0,0,Europe,400,10000,4,30,35,2.8,11,4.54,21.2,1.2,1,
3,0,0,0,Europe,400,10000,4,40,30,2.8,11,5.36,31.54,1.27,1,
3,0,0,0,Europe,400,10000,4,50,25,2.8,11,6.15,27.16,1.5,1,
3,0,0,0,Europe,400,10000,4,55,18,2.8,11,6.52,29.1,1.45,1,
3,0,0,0,Europe,400,10000,4,60,20,2.8,11,6.96,33.85,1.29,1,
3,0,0,0,Europe,400,10000,4,70,15,2.8,11,7.73,32.91,1.62,1,
3,0,0,0,Europe,400,10000,4,80,10,2.8,11,8.55,40.62,1.21,1,
3,0,0,0,Europe,400,10000,4,90,5,2.8,11,9.31,44.91,1.28,1,
3,0,0,0,Europe,400,10000,4,100,0,2.8,11,10.07,51.08,1.63,1,
1,0,0,0,Europe,400,10000,4,0,50,4,11,0.01,3.67,0,0.03,
1,0,0,0,Europe,400,10000,4,0,0,4,11,0,0.48,0,0,
1,0,0,0,Europe,400,10000,4,0,100,4,11,0.09,7.21,0,0.1,
1,0,0,0,Europe,400,10000,4,10,45,4,11,0.14,7.09,0,0.17,
1,0,0,0,Europe,400,10000,4,20,40,4,11,0.55,12.73,0,0.44,
1,0,0,0,Europe,400,10000,4,30,35,4,11,1.3,17.17,0,0.67,
1,0,0,0,Europe,400,10000,4,40,30,4,11,2.39,26.69,0,0.82,
1,0,0,0,Europe,400,10000,4,50,25,4,11,3.55,36.4,0,0.89,
1,0,0,0,Europe,400,10000,4,55,18,4,11,4.32,43.93,0,0.92,
1,0,0,0,Europe,400,10000,4,60,20,4,11,4.96,46.62,0,0.94,
1,0,0,0,Europe,400,10000,4,70,15,4,11,6.37,52.39,0,0.96,
1,0,0,0,Europe,400,10000,4,80,10,4,11,7.74,72.6,0,0.97,
1,0,0,0,Europe,400,10000,4,90,5,4,11,9.47,73.92,0,0.98,
1,0,0,0,Europe,400,10000,4,100,0,4,11,11.14,88.21,0,0.98,
2,0,0,0,Europe,400,10000,4,0,0,4,11,1.25,2.06,0.79,1,
2,0,0,0,Europe,400,10000,4,0,50,4,11,1.31,4.05,0.6,1,
2,0,0,0,Europe,400,10000,4,0,100,4,11,1.37,5.34,0.46,1,
2,0,0,0,Europe,400,10000,4,10,45,4,11,1.84,5.05,0.75,1,
2,0,0,0,Europe,400,10000,4,20,40,4,11,2.37,8.18,0.75,1,
2,0,0,0,Europe,400,10000,4,30,35,4,11,2.9,11.54,0.87,1,
2,0,0,0,Europe,400,10000,4,40,30,4,11,3.45,11.45,1,1,
2,0,0,0,Europe,400,10000,4,50,25,4,11,3.99,16.62,1.08,1,
2,0,0,0,Europe,400,10000,4,55,18,4,11,4.25,16.67,0.92,1,
2,0,0,0,Europe,400,10000,4,60,20,4,11,4.57,23.44,0.93,1,
2,0,0,0,Europe,400,10000,4,70,15,4,11,5.13,19.11,1.22,1,
2,0,0,0,Europe,400,10000,4,80,10,4,11,5.67,27.89,1.12,1,
2,0,0,0,Europe,400,10000,4,90,5,4,11,6.3,25.02,1.13,1,
