Country,Strategy,Eq,Bo,Withdrawal,Rebalance,TrailAver,TrailMax,TrailMin,WDAver,WDMax,WDMin,SuccessRate, 
Canada.JPG,1,55,30,1.50,11,13.74,41.57,5.48,60,60,60,1.00,
Canada.JPG,1,55,30,2.00,11,12.03,31.70,3.17,80,80,80,1.00,
Canada.JPG,1,55,30,2.50,11,10.14,31.88,3.31,100,100,100,1.00,
Canada.JPG,1,55,30,3.00,11,8.33,28.69,1.41,120,120,60,1.00,
Canada.JPG,1,55,30,3.50,11,6.51,19.46,0.43,140,140,70,1.00,
Canada.JPG,1,55,30,4.00,11,4.70,23.80,0.00,159,160,0,1.00,
Canada.JPG,1,55,30,4.50,11,3.06,15.22,0.00,175,180,0,0.98,
Canada.JPG,1,55,30,5.00,11,1.66,15.97,0.00,185,200,0,0.83,
Canada.JPG,1,55,30,5.50,11,0.71,15.02,0.00,185,220,0,0.53,
Canada.JPG,1,55,30,6.00,11,0.28,8.76,0.00,179,240,0,0.25,
Canada.JPG,1,55,30,6.50,11,0.09,7.35,0.00,170,260,0,0.08,
Canada.JPG,1,55,30,7.00,11,0.03,9.41,0.00,162,280,0,0.02,
Canada.JPG,1,55,30,7.50,11,0.00,5.10,0.00,155,300,0,0.00,
Canada.JPG,1,55,30,8.00,11,0.00,2.57,0.00,150,320,0,0.00,
Canada.JPG,1,55,30,8.50,11,0.00,0.00,0.00,145,340,0,0.00,
Canada.JPG,1,55,30,9.00,11,0.00,0.00,0.00,142,360,0,0.00,
Canada.JPG,1,55,30,9.50,11,0.00,0.00,0.00,139,380,0,0.00,
China.JPG,1,55,30,0.00,11,9.51,27.67,3.62,0,0,0,1.00,
China.JPG,1,55,30,0.50,11,8.44,37.47,2.27,20,20,20,1.00,
China.JPG,1,55,30,1.00,11,7.20,22.99,2.02,40,40,20,1.00,
China.JPG,1,55,30,1.50,11,6.16,22.93,1.00,60,60,30,1.00,
China.JPG,1,55,30,2.00,11,5.09,18.46,0.98,77,80,40,1.00,
China.JPG,1,55,30,2.50,11,4.12,15.76,0.00,93,100,0,1.00,
China.JPG,1,55,30,3.00,11,3.22,13.15,0.00,105,120,0,1.00,
China.JPG,1,55,30,3.50,11,2.37,13.77,0.00,117,140,0,0.99,
China.JPG,1,55,30,4.00,11,1.54,12.79,0.00,127,160,0,0.90,
China.JPG,1,55,30,4.50,11,0.89,12.19,0.00,135,180,0,0.68,
China.JPG,1,55,30,5.00,11,0.41,8.66,0.00,137,200,0,0.39,
China.JPG,1,55,30,5.50,11,0.14,5.67,0.00,136,220,0,0.16,
China.JPG,1,55,30,6.00,11,0.05,5.54,0.00,133,240,0,0.05,
China.JPG,1,55,30,6.50,11,0.01,4.05,0.00,129,260,0,0.02,
China.JPG,1,55,30,7.00,11,0.00,3.86,0.00,126,280,0,0.00,
China.JPG,1,55,30,7.50,11,0.00,5.54,0.00,124,300,0,0.00,
